danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
0.672,0.808,7,-4.658,1,0.0323,0.00636,0.0813,0.334,0.533,127.976,audio_features,55sLyn4oUwCRGpwiLwOUyr,spotify:track:55sLyn4oUwCRGpwiLwOUyr,https://api.spotify.com/v1/tracks/55sLyn4oUwCRGpwiLwOUyr,https://api.spotify.com/v1/audio-analysis/55sLyn4oUwCRGpwiLwOUyr,215720,4,LIYA LIYA - CHURA LIYA PART-1 (YAADON KI BARAAT) - RECREATED
0.761,0.475,7,-13.03,1,0.0455,0.381,0.124,0.101,0.464,98.035,audio_features,3fmaa2vvi8kq1LSX4M2btK,spotify:track:3fmaa2vvi8kq1LSX4M2btK,https://api.spotify.com/v1/tracks/3fmaa2vvi8kq1LSX4M2btK,https://api.spotify.com/v1/audio-analysis/3fmaa2vvi8kq1LSX4M2btK,224493,4,O Sanam
0.696,0.869,9,-3.766,1,0.0648,0.159,0.000412,0.0563,0.777,93.025,audio_features,1FIUPudP2bHpn7f48KpHGK,spotify:track:1FIUPudP2bHpn7f48KpHGK,https://api.spotify.com/v1/tracks/1FIUPudP2bHpn7f48KpHGK,https://api.spotify.com/v1/audio-analysis/1FIUPudP2bHpn7f48KpHGK,323933,4,Ultimate Bollywood Workout - Vol 1
0.854,0.746,9,-8.656,0,0.115,0.0623,1.49E-06,0.0273,0.862,107.981,audio_features,6HvVsxeIhGUP60MMZq3ThH,spotify:track:6HvVsxeIhGUP60MMZq3ThH,https://api.spotify.com/v1/tracks/6HvVsxeIhGUP60MMZq3ThH,https://api.spotify.com/v1/audio-analysis/6HvVsxeIhGUP60MMZq3ThH,359253,4,Ultimate Bollywood Workout - Vol 1
0.758,0.905,6,-5.466,0,0.0503,0.0831,0.00516,0.0994,0.795,104.011,audio_features,3bzWTZ3CV640aZI8l0eHMR,spotify:track:3bzWTZ3CV640aZI8l0eHMR,https://api.spotify.com/v1/tracks/3bzWTZ3CV640aZI8l0eHMR,https://api.spotify.com/v1/audio-analysis/3bzWTZ3CV640aZI8l0eHMR,349907,4,Ultimate Bollywood Workout - Vol 1
0.829,0.942,0,-4.959,1,0.0396,0.0914,0.00853,0.295,0.927,104.827,audio_features,77dvAkaySQAPYHo7dbkGkM,spotify:track:77dvAkaySQAPYHo7dbkGkM,https://api.spotify.com/v1/tracks/77dvAkaySQAPYHo7dbkGkM,https://api.spotify.com/v1/audio-analysis/77dvAkaySQAPYHo7dbkGkM,287813,4,Ultimate Bollywood Workout - Vol 1
0.734,0.879,2,-5.093,1,0.133,0.0608,0.0597,0.0967,0.44,104.99,audio_features,60c62Sw0KLZKgoLPTs4t6J,spotify:track:60c62Sw0KLZKgoLPTs4t6J,https://api.spotify.com/v1/tracks/60c62Sw0KLZKgoLPTs4t6J,https://api.spotify.com/v1/audio-analysis/60c62Sw0KLZKgoLPTs4t6J,247200,4,Ultimate Bollywood Workout - Vol 1
0.755,0.939,11,-4.969,0,0.127,0.129,3.43E-06,0.416,0.783,92.006,audio_features,4B0SFukDN2ojbuVecdXR9V,spotify:track:4B0SFukDN2ojbuVecdXR9V,https://api.spotify.com/v1/tracks/4B0SFukDN2ojbuVecdXR9V,https://api.spotify.com/v1/audio-analysis/4B0SFukDN2ojbuVecdXR9V,295560,4,Ultimate Bollywood Workout - Vol 1
0.778,0.951,11,-4.027,0,0.0573,0.0713,0.00474,0.316,0.61,109.417,audio_features,6QvMf4xpRflfaQVIKmGQhA,spotify:track:6QvMf4xpRflfaQVIKmGQhA,https://api.spotify.com/v1/tracks/6QvMf4xpRflfaQVIKmGQhA,https://api.spotify.com/v1/audio-analysis/6QvMf4xpRflfaQVIKmGQhA,325680,4,Ultimate Bollywood Workout - Vol 1
0.652,0.97,6,-3.944,0,0.0461,0.00775,0.00168,0.204,0.883,124.977,audio_features,4SwYoLdtlNhlewcNa1sYFR,spotify:track:4SwYoLdtlNhlewcNa1sYFR,https://api.spotify.com/v1/tracks/4SwYoLdtlNhlewcNa1sYFR,https://api.spotify.com/v1/audio-analysis/4SwYoLdtlNhlewcNa1sYFR,231013,4,Ultimate Bollywood Workout - Vol 1
0.762,0.817,0,-5.804,1,0.158,0.022,9.30E-05,0.0789,0.849,92.01,audio_features,2msWTU4Vs3FyxKuCixcwmN,spotify:track:2msWTU4Vs3FyxKuCixcwmN,https://api.spotify.com/v1/tracks/2msWTU4Vs3FyxKuCixcwmN,https://api.spotify.com/v1/audio-analysis/2msWTU4Vs3FyxKuCixcwmN,281173,4,Ultimate Bollywood Workout - Vol 1
0.79,0.827,1,-5.706,1,0.03,0.0853,0.403,0.291,0.588,114.981,audio_features,417VlUKWcOEmBzq8T4NLEt,spotify:track:417VlUKWcOEmBzq8T4NLEt,https://api.spotify.com/v1/tracks/417VlUKWcOEmBzq8T4NLEt,https://api.spotify.com/v1/audio-analysis/417VlUKWcOEmBzq8T4NLEt,253357,4,Ultimate Bollywood Workout - Vol 1
