cluster,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,acousticness_scaled,danceability_scaled,energy_scaled,instrumentalness_scaled,liveness_scaled,valence_scaled,tempo_scaled,speechiness_scaled,loudness_scaled
4,0.703,0.934,0,-5.684,0,0.0332,0.0447,0.0893,0.0584,0.82,120.036,audio_features,6529TCR5Znq4SUFF1K6Yhu,spotify:track:6529TCR5Znq4SUFF1K6Yhu,https://api.spotify.com/v1/tracks/6529TCR5Znq4SUFF1K6Yhu,https://api.spotify.com/v1/audio-analysis/6529TCR5Znq4SUFF1K6Yhu,247453,4,Aadat,-1.2362075715066494,0.6417652990326917,1.5534506582288063,0.3586771442241553,-0.8670106880114693,1.1076951715511734,0.15350348980591605,-0.593328194175465,0.6549968714568118
4,0.62,0.899,8,-6.57,0,0.0376,0.00848,0.413,0.217,0.8809999999999999,119.99700000000001,audio_features,2Wi9cUPzDJ7luV2COdzAQb,spotify:track:2Wi9cUPzDJ7luV2COdzAQb,https://api.spotify.com/v1/tracks/2Wi9cUPzDJ7luV2COdzAQb,https://api.spotify.com/v1/audio-analysis/2Wi9cUPzDJ7luV2COdzAQb,285360,4,Who Lamhe,-1.3534969797346814,0.1020702890503458,1.374495304947224,2.5176800137930413,0.2067321641944125,1.3807161453239203,0.15209637620043495,-0.5255131911895508,0.38143240229744074
4,0.727,0.966,2,-5.228,1,0.0368,0.225,0.008740000000000001,0.165,0.902,128.986,audio_features,5WmEz1wvZY9zBlFSjXVBWL,spotify:track:5WmEz1wvZY9zBlFSjXVBWL,https://api.spotify.com/v1/tracks/5WmEz1wvZY9zBlFSjXVBWL,https://api.spotify.com/v1/audio-analysis/5WmEz1wvZY9zBlFSjXVBWL,225880,4,Bin Tere Sanam,-0.6523511302169162,0.7978216874613221,1.7170669812291097,-0.1786391090117714,-0.14531467259440115,1.4747069723604405,0.4764180223459086,-0.5378431917324443,0.7957930316562173
1,0.687,0.735,7,-4.922,1,0.0309,0.00112,0.152,0.0532,0.42,127.994,audio_features,0A4ZbRheBaq9vZwPS8cyZx,spotify:track:0A4ZbRheBaq9vZwPS8cyZx,https://api.spotify.com/v1/tracks/0A4ZbRheBaq9vZwPS8cyZx,https://api.spotify.com/v1/audio-analysis/0A4ZbRheBaq9vZwPS8cyZx,347000,4,LIYA LIYA CHURA LIYA PART-2 (YAADON KI BARAAT) - RECREATED,-1.3773304983585994,0.5377277067469389,0.5359616495706664,0.7768713979219284,-0.9022153716903507,-0.6826062958111029,0.4406268249962248,-0.6287769457362837,0.8902746654742394
4,0.695,0.804,2,-5.692,0,0.0446,0.0527,0.0017699999999999999,0.0652,0.695,124.97200000000001,audio_features,39otBBHIl1cKqpIqihG20c,spotify:track:39otBBHIl1cKqpIqihG20c,https://api.spotify.com/v1/tracks/39otBBHIl1cKqpIqihG20c,https://api.spotify.com/v1/audio-analysis/39otBBHIl1cKqpIqihG20c,331280,4,DUM MARO DUM (HARE RAMA HARE KRISHNA) - RECREATED,-1.2103015730023905,0.589746502889815,0.8887593460400719,-0.22512736974978542,-0.8209737939698553,0.548225963000462,0.3315935604894253,-0.4176256864392328,0.652526763383138
4,0.672,0.8079999999999999,7,-4.658,1,0.0323,0.00636,0.0813,0.33399999999999996,0.5329999999999999,127.976,audio_features,55sLyn4oUwCRGpwiLwOUyr,spotify:track:55sLyn4oUwCRGpwiLwOUyr,https://api.spotify.com/v1/tracks/55sLyn4oUwCRGpwiLwOUyr,https://api.spotify.com/v1/audio-analysis/55sLyn4oUwCRGpwiLwOUyr,215720,4,LIYA LIYA - CHURA LIYA PART-1 (YAADON KI BARAAT) - RECREATED,-1.36036206933831,0.44019246397904493,0.9092113864151093,0.3053190257300215,0.9988375469692431,-0.17684613128126014,0.439977387947541,-0.6071994447862201,0.9717882319054739
2,0.7609999999999999,0.475,7,-13.03,1,0.0455,0.381,0.124,0.10099999999999999,0.46399999999999997,98.035,audio_features,3fmaa2vvi8kq1LSX4M2btK,spotify:track:3fmaa2vvi8kq1LSX4M2btK,https://api.spotify.com/v1/tracks/3fmaa2vvi8kq1LSX4M2btK,https://api.spotify.com/v1/audio-analysis/3fmaa2vvi8kq1LSX4M2btK,224493,4,O Sanam,-0.1471841593838689,1.0189015710685478,-0.7934209748068026,0.5901179831924603,-0.5786030871037104,-0.4856731344012526,-0.640288982865859,-0.40375443582847764,-1.6131798671941355
4,0.696,0.8690000000000001,9,-3.766,1,0.0648,0.159,0.000412,0.0563,0.777,93.025,audio_features,1FIUPudP2bHpn7f48KpHGK,spotify:track:1FIUPudP2bHpn7f48KpHGK,https://api.spotify.com/v1/tracks/1FIUPudP2bHpn7f48KpHGK,https://api.spotify.com/v1/audio-analysis/1FIUPudP2bHpn7f48KpHGK,323933,4,Ultimate Bollywood Workout - Vol 1,-0.8660756178770516,0.5962488524076746,1.2211050021344394,-0.2341849103641646,-0.8812279641125561,0.915237763809729,-0.8210489614161788,-0.10629317273117239,1.2472052821201003
4,0.8540000000000001,0.746,9,-8.656,0,0.115,0.0623,1.49e-06,0.0273,0.862,107.98100000000001,audio_features,6HvVsxeIhGUP60MMZq3ThH,spotify:track:6HvVsxeIhGUP60MMZq3ThH,https://api.spotify.com/v1/tracks/6HvVsxeIhGUP60MMZq3ThH,https://api.spotify.com/v1/audio-analysis/6HvVsxeIhGUP60MMZq3ThH,359253,4,Ultimate Bollywood Workout - Vol 1,-1.17921437479728,1.623620076229491,0.5922047606020209,-0.236922915517043,-1.0775617769370869,1.2956768256242126,-0.28143893363202954,0.6674143613353939,-0.2626482779129972
4,0.758,0.905,6,-5.466,0,0.0503,0.0831,0.0051600000000000005,0.0994,0.795,104.01100000000001,audio_features,3bzWTZ3CV640aZI8l0eHMR,spotify:track:3bzWTZ3CV640aZI8l0eHMR,https://api.spotify.com/v1/tracks/3bzWTZ3CV640aZI8l0eHMR,https://api.spotify.com/v1/audio-analysis/3bzWTZ3CV640aZI8l0eHMR,349907,4,Ultimate Bollywood Workout - Vol 1,-1.111858778686207,0.9993945225149696,1.405173365509781,-0.20251686703789626,-0.5894352974664431,0.9958013298410315,-0.424675882702842,-0.32977443257111677,0.7223073164644223
